X,CH1,Start,Increment
Sequence,VOLT,4.75E-05,1.00E-06
955,3.08E-03,,
956,3.36E-03,,
957,3.36E-03,,
958,3.64E-03,,
959,3.64E-03,,
960,3.64E-03,,
961,3.92E-03,,
962,3.92E-03,,
963,3.92E-03,,
964,4.20E-03,,
965,4.20E-03,,
966,4.48E-03,,
967,4.48E-03,,
968,4.76E-03,,
969,4.76E-03,,
970,5.04E-03,,
971,5.04E-03,,
972,5.32E-03,,
973,5.32E-03,,
974,5.32E-03,,
975,5.60E-03,,
976,5.60E-03,,
977,5.60E-03,,
978,5.88E-03,,
979,5.88E-03,,
980,6.16E-03,,
981,6.16E-03,,
982,6.16E-03,,
983,6.44E-03,,
984,6.72E-03,,
985,6.72E-03,,
986,6.72E-03,,
987,7.00E-03,,
988,7.00E-03,,
989,7.28E-03,,
990,7.28E-03,,
991,7.28E-03,,
992,7.56E-03,,
993,7.56E-03,,
994,7.84E-03,,
995,7.84E-03,,
996,7.84E-03,,
997,8.12E-03,,
998,8.12E-03,,
999,8.12E-03,,
1000,8.40E-03,,
1001,8.40E-03,,
1002,8.40E-03,,
1003,8.40E-03,,
1004,8.40E-03,,
1005,8.68E-03,,
1006,8.68E-03,,
1007,8.68E-03,,
1008,8.96E-03,,
1009,8.96E-03,,
1010,8.96E-03,,
1011,9.24E-03,,
1012,9.24E-03,,
1013,9.24E-03,,
1014,9.52E-03,,
1015,9.52E-03,,
1016,9.52E-03,,
1017,9.52E-03,,
1018,9.52E-03,,
1019,9.80E-03,,
1020,9.80E-03,,
1021,9.80E-03,,
1022,9.80E-03,,
1023,9.80E-03,,
1024,9.80E-03,,
1025,9.80E-03,,
1026,9.80E-03,,
1027,9.80E-03,,
1028,9.80E-03,,
1029,9.80E-03,,
1030,9.80E-03,,
1031,1.01E-02,,
1032,1.01E-02,,
1033,1.01E-02,,
1034,1.01E-02,,
1035,1.01E-02,,
1036,1.01E-02,,
1037,1.01E-02,,
1038,1.01E-02,,
1039,1.01E-02,,
1040,1.01E-02,,
1041,1.01E-02,,
1042,1.01E-02,,
1043,1.01E-02,,
1044,1.01E-02,,
1045,1.01E-02,,
1046,1.01E-02,,
1047,1.01E-02,,
1048,1.01E-02,,
1049,1.01E-02,,
1050,1.01E-02,,
1051,1.01E-02,,
1052,1.01E-02,,
1053,1.01E-02,,
1054,1.01E-02,,
1055,1.01E-02,,
1056,1.01E-02,,
1057,1.01E-02,,
1058,1.01E-02,,
1059,1.01E-02,,
1060,1.01E-02,,
1061,9.80E-03,,
1062,9.80E-03,,
1063,9.80E-03,,
1064,9.80E-03,,
1065,9.80E-03,,
1066,9.52E-03,,
1067,9.52E-03,,
1068,9.52E-03,,
1069,9.52E-03,,
1070,9.52E-03,,
1071,9.24E-03,,
1072,9.24E-03,,
1073,8.96E-03,,
1074,8.96E-03,,
1075,8.96E-03,,
1076,8.96E-03,,
1077,8.68E-03,,
1078,8.68E-03,,
1079,8.68E-03,,
1080,8.68E-03,,
1081,8.68E-03,,
1082,8.68E-03,,
1083,8.68E-03,,
1084,8.40E-03,,
1085,8.40E-03,,
1086,8.12E-03,,
1087,8.12E-03,,
1088,8.12E-03,,
1089,7.84E-03,,
1090,7.84E-03,,
1091,7.84E-03,,
1092,7.84E-03,,
1093,7.84E-03,,
1094,7.56E-03,,
1095,7.56E-03,,
1096,7.28E-03,,
1097,7.28E-03,,
1098,7.00E-03,,
1099,7.00E-03,,
1100,7.00E-03,,
1101,7.00E-03,,
1102,6.72E-03,,
1103,6.72E-03,,
1104,6.72E-03,,
1105,6.44E-03,,
1106,6.44E-03,,
1107,6.16E-03,,
1108,6.16E-03,,
1109,6.16E-03,,
1110,6.16E-03,,
1111,5.88E-03,,
1112,5.88E-03,,
1113,5.88E-03,,
1114,5.88E-03,,
1115,5.88E-03,,
1116,5.60E-03,,
1117,5.60E-03,,
1118,5.60E-03,,
1119,5.60E-03,,
1120,5.60E-03,,
1121,5.60E-03,,
1122,5.60E-03,,
1123,5.60E-03,,
1124,5.60E-03,,
1125,5.60E-03,,
1126,5.60E-03,,
1127,5.60E-03,,
1128,5.32E-03,,
1129,5.32E-03,,
1130,5.32E-03,,
1131,5.32E-03,,
1132,5.32E-03,,
1133,5.32E-03,,
1134,5.32E-03,,
1135,5.32E-03,,
1136,5.32E-03,,
1137,5.32E-03,,
1138,5.32E-03,,
1139,5.32E-03,,
1140,5.32E-03,,
1141,5.32E-03,,
1142,5.32E-03,,
1143,5.32E-03,,
1144,5.32E-03,,
1145,5.32E-03,,
1146,5.32E-03,,
1147,5.32E-03,,
1148,5.32E-03,,
1149,5.32E-03,,
1150,5.32E-03,,
1151,5.60E-03,,
1152,5.60E-03,,
1153,5.60E-03,,
1154,5.60E-03,,
1155,5.60E-03,,
1156,5.88E-03,,
1157,5.88E-03,,
1158,5.88E-03,,
1159,5.88E-03,,
1160,5.88E-03,,
1161,6.16E-03,,
1162,6.16E-03,,
1163,6.16E-03,,
1164,6.16E-03,,
1165,6.44E-03,,
1166,6.44E-03,,
1167,6.44E-03,,
1168,6.72E-03,,
1169,6.72E-03,,
1170,6.72E-03,,
1171,6.72E-03,,
1172,7.00E-03,,
1173,7.00E-03,,
1174,7.28E-03,,
1175,7.28E-03,,
1176,7.28E-03,,
1177,7.56E-03,,
1178,7.56E-03,,
1179,7.56E-03,,
1180,7.56E-03,,
1181,7.84E-03,,
1182,7.84E-03,,
1183,8.12E-03,,
1184,8.12E-03,,
1185,8.12E-03,,
1186,8.40E-03,,
1187,8.40E-03,,
1188,8.40E-03,,
1189,8.40E-03,,
1190,8.68E-03,,
1191,8.68E-03,,
1192,8.96E-03,,
1193,8.96E-03,,
1194,9.24E-03,,
1195,9.24E-03,,
1196,9.24E-03,,
1197,9.52E-03,,
1198,9.52E-03,,
1199,9.80E-03,,
